Record_ID,Month,SKU_ID,SKU_Description,Product_Group,UoM,Base_Monthly_Demand,Avg_Monthly_Demand_est,Forecast_Method,Forecast_units,Actual_Demand_units,Forecast_Error_units,Absolute_Error_units,APE,Supplier_LeadTime_days,Transit_days,Total_LeadTime_days,Safety_Stock_units,Reorder_Point_units,OnHand_Inventory_units,Planned_Receipts_units,Replenishment_Order_units,Production_Plan_units,MOQ_units,Unit_Cost_USD,Inventory_Value_USD,Days_of_Inventory,Fill_Rate_pct,Stockout_Flag,SLOB_Flag,Produced_InHouse,Shelf_Life_days,Manufacturing_Date,Expiry_Date,Days_to_Expiry,Holding_Cost_pct_annual,Holding_Cost_USD_monthly,Planned_Receipt_Date,Actual_Receipt_Date,PO_OnTime_Flag,Customer_Priority,Revenue_per_unit_USD,Monthly_Revenue_USD,Manufacturing_Line,Production_Capacity_units_per_month,Line_Changeover_time_hrs,Safety_Stock_z90_units,Safety_Stock_z95_units,Safety_Stock_z98_units,OTIF_approx_flag,Capacity_Utilization_pct,Expiry_Value_USD
SKU0001_202411,2024-11-01 00:00:00,SKU0001,Surfactants Grade A,Surfactants,kg,571,514,Exponential Smoothing,501,200,-301,301,"1,505",29,6,35,37,270,10,248,5241,5241,5241,"18,62","186,2","1,5",100,0,0,TRUE,730,2024-11-06,2026-11-06,735,"0,1","1,551666667",2024-11-08 00:00:00,2024-11-11 00:00:00,0,High,"26,999","5399,8",Line_A,20000,3,29,38,47,0,"26,205",0
SKU0001_202412,2024-12-01 00:00:00,SKU0001,Surfactants Grade A,Surfactants,kg,571,525,Exponential Smoothing,194,407,213,213,"0,5233",29,8,37,38,540,1103,296,0,0,5241,"18,62","20537,86","81,3",100,0,0,TRUE,730,2024-12-05,2026-12-05,734,"0,1","171,1488333",2024-12-08 00:00:00,2024-12-08 00:00:00,1,High,"26,999","10988,593",Line_A,20000,1,30,39,48,1,0,0
SKU0001_202501,2025-01-01 00:00:00,SKU0001,Surfactants Grade A,Surfactants,kg,571,537,Exponential Smoothing,308,634,326,326,"0,5142",29,10,39,39,863,709,602,5241,5241,5241,"18,62","13201,58","33,5",100,0,0,TRUE,730,2025-01-02,2027-01-02,731,"0,1","110,0131667",2025-01-08 00:00:00,2025-01-17 00:00:00,0,High,"26,999","17117,366",Line_A,20000,5,31,40,49,0,"26,205",0
SKU0001_202502,2025-02-01 00:00:00,SKU0001,Surfactants Grade A,Surfactants,kg,571,548,Exponential Smoothing,502,781,279,279,"0,3572",29,1,30,34,815,553,699,5241,5241,5241,"18,62","10296,86","21,2",100,0,0,TRUE,730,2025-02-02,2027-02-02,731,"0,1","85,80716667",2025-02-08 00:00:00,2025-02-15 00:00:00,0,High,"26,999","21086,219",Line_A,20000,5,27,35,43,0,"26,205",0
SKU0001_202503,2025-03-01 00:00:00,SKU0001,Surfactants Grade A,Surfactants,kg,571,560,Exponential Smoothing,643,448,-195,195,"0,4353",29,4,33,36,529,170,251,5241,5241,5241,"18,62","3165,4","11,4","93,97",1,0,TRUE,730,2025-03-03,2027-03-03,732,"0,1","26,37833333",2025-03-08 00:00:00,2025-03-12 00:00:00,0,High,"26,999","12095,552",Line_A,20000,4,29,36,45,0,"26,205",0
SKU0001_202504,2025-04-01 00:00:00,SKU0001,Surfactants Grade A,Surfactants,kg,571,571,Exponential Smoothing,591,563,-28,28,"0,0497",29,7,36,38,714,749,306,0,0,5241,"18,62","13946,38","39,9",100,0,0,TRUE,730,2025-04-03,2027-04-03,732,"0,1","116,2198333",2025-04-08 00:00:00,2025-04-17 00:00:00,0,High,"26,999","15200,437",Line_A,20000,2,30,38,47,0,0,0
SKU0001_202505,2025-05-01 00:00:00,SKU0001,Surfactants Grade A,Surfactants,kg,571,582,Exponential Smoothing,495,568,73,73,"0,1285",29,3,32,35,641,906,482,0,0,5241,"18,62","16869,72","47,9",100,0,0,TRUE,730,2025-05-05,2027-05-05,734,"0,1","140,581",2025-05-08 00:00:00,2025-05-09 00:00:00,1,High,"26,999","15335,432",Line_A,20000,8,28,36,45,1,0,0
SKU0001_202506,2025-06-01 00:00:00,SKU0001,Surfactants Grade A,Surfactants,kg,571,594,Naive,555,548,-7,7,"0,0128",29,4,33,36,639,0,160,5241,5241,5241,"18,62",0,0,"29,2",1,0,TRUE,730,2025-06-08,2027-06-08,737,"0,1",0,2025-06-08 00:00:00,2025-06-11 00:00:00,0,High,"26,999","14795,452",Line_A,20000,1,29,36,45,0,"26,205",0
SKU0001_202507,2025-07-01 00:00:00,SKU0001,Surfactants Grade A,Surfactants,kg,571,605,Exponential Smoothing,572,671,99,99,"0,1475",29,2,31,35,728,682,725,5241,5241,5241,"18,62","12698,84","30,5",100,0,0,TRUE,730,2025-07-04,2027-07-04,733,"0,1","105,8236667",2025-07-08 00:00:00,2025-07-14 00:00:00,0,High,"26,999","18116,329",Line_A,20000,2,28,35,44,0,"26,205",0
SKU0001_202508,2025-08-01 00:00:00,SKU0001,Surfactants Grade A,Surfactants,kg,571,617,Causal (Promo),673,655,-18,18,"0,0275",29,7,36,38,824,792,390,5241,5241,5241,"18,62","14747,04","36,3",100,0,0,TRUE,730,2025-08-02,2027-08-02,731,"0,1","122,892",2025-08-08 00:00:00,2025-08-07 00:00:00,1,High,"26,999","17684,345",Line_A,20000,1,30,38,47,1,"26,205",0
